,time,lat,lon,t_abs
361318,2017-05-16T24:00:00Z,17.5,-12.5,35.31
361319,2017-05-16T24:00:00Z,17.5,-7.5,35.97
361320,2017-05-16T24:00:00Z,17.5,7.5,37.26
361321,2017-05-16T24:00:00Z,17.5,12.5,34.24
361322,2017-05-16T24:00:00Z,17.5,42.5,28.160002
361323,2017-05-16T24:00:00Z,17.5,52.5,30.135
361324,2017-05-16T24:00:00Z,17.5,57.5,30.39
361325,2017-05-16T24:00:00Z,17.5,72.5,30.529999
361326,2017-05-16T24:00:00Z,17.5,77.5,34.695
361327,2017-05-16T24:00:00Z,17.5,82.5,31.443335
361328,2017-05-16T24:00:00Z,17.5,97.5,29.512
361329,2017-05-16T24:00:00Z,17.5,102.5,29.140589
361330,2017-05-16T24:00:00Z,17.5,107.5,27.751669
361331,2017-05-16T24:00:00Z,17.5,112.5,28.76
361332,2017-05-16T24:00:00Z,17.5,117.5,29.3
361333,2017-05-16T24:00:00Z,17.5,122.5,27.768751
361334,2017-05-16T24:00:00Z,22.5,-157.5,24.885002
361335,2017-05-16T24:00:00Z,22.5,-112.5,24.485
361336,2017-05-16T24:00:00Z,22.5,-107.5,25.212502
361337,2017-05-16T24:00:00Z,22.5,-102.5,23.843332
361338,2017-05-16T24:00:00Z,22.5,-97.5,28.712502
361339,2017-05-16T24:00:00Z,22.5,-87.5,28.689999
361340,2017-05-16T24:00:00Z,22.5,-82.5,26.7225
361341,2017-05-16T24:00:00Z,22.5,-77.5,25.95
361342,2017-05-16T24:00:00Z,22.5,-17.5,21.88
361343,2017-05-16T24:00:00Z,22.5,7.5,29.970001
361344,2017-05-16T24:00:00Z,22.5,32.5,33.01
361345,2017-05-16T24:00:00Z,22.5,37.5,32.456665
361346,2017-05-16T24:00:00Z,22.5,42.5,25.744999
361347,2017-05-16T24:00:00Z,22.5,52.5,33.16
361348,2017-05-16T24:00:00Z,22.5,57.5,32.9825
361349,2017-05-16T24:00:00Z,22.5,67.5,31.24
361350,2017-05-16T24:00:00Z,22.5,72.5,33.203335
361351,2017-05-16T24:00:00Z,22.5,77.5,35.314
361352,2017-05-16T24:00:00Z,22.5,82.5,35.059998
361353,2017-05-16T24:00:00Z,22.5,87.5,31.93
361354,2017-05-16T24:00:00Z,22.5,92.5,30.535
361355,2017-05-16T24:00:00Z,22.5,97.5,22.62
361356,2017-05-16T24:00:00Z,22.5,102.5,23.404543
361357,2017-05-16T24:00:00Z,22.5,107.5,25.612858
361358,2017-05-16T24:00:00Z,22.5,112.5,25.680555
361359,2017-05-16T24:00:00Z,22.5,117.5,25.082
361360,2017-05-16T24:00:00Z,22.5,122.5,26.4825
361361,2017-05-16T24:00:00Z,22.5,127.5,25.325
361362,2017-05-16T24:00:00Z,22.5,142.5,24.99
361363,2017-05-16T24:00:00Z,22.5,152.5,26.46
361364,2017-05-16T24:00:00Z,27.5,-112.5,25.56
361365,2017-05-16T24:00:00Z,27.5,-107.5,25.512003
361366,2017-05-16T24:00:00Z,27.5,-102.5,26.09
361367,2017-05-16T24:00:00Z,27.5,-97.5,25.300953
361368,2017-05-16T24:00:00Z,27.5,-92.5,23.946001
361369,2017-05-16T24:00:00Z,27.5,-87.5,24.12
361370,2017-05-16T24:00:00Z,27.5,-82.5,25.863201
361371,2017-05-16T24:00:00Z,27.5,-17.5,21.792002
361372,2017-05-16T24:00:00Z,27.5,-12.5,21.885
361373,2017-05-16T24:00:00Z,27.5,7.5,31.654999
361374,2017-05-16T24:00:00Z,27.5,27.5,27.8125
361375,2017-05-16T24:00:00Z,27.5,32.5,28.762003
361376,2017-05-16T24:00:00Z,27.5,37.5,28.095
361377,2017-05-16T24:00:00Z,27.5,42.5,30.059998
361378,2017-05-16T24:00:00Z,27.5,47.5,34.406666
361379,2017-05-16T24:00:00Z,27.5,52.5,30.5
361380,2017-05-16T24:00:00Z,27.5,57.5,30.17625
361381,2017-05-16T24:00:00Z,27.5,62.5,31.734003
