date,lat,lon,t_abs
2017-05-16,22.5,-77.5,25.95
2017-05-16,22.5,-17.5,21.88
2017-05-16,22.5,7.5,29.970001
2017-05-16,22.5,32.5,33.01
2017-05-16,22.5,37.5,32.456665
2017-05-16,22.5,42.5,25.744999
2017-05-16,22.5,52.5,33.16
2017-05-16,22.5,57.5,32.9825
2017-05-16,22.5,67.5,31.24
2017-05-16,22.5,72.5,33.203335
2017-05-16,22.5,77.5,35.314
2017-05-16,22.5,82.5,35.059998
2017-05-16,22.5,87.5,31.93
2017-05-16,22.5,92.5,30.535
2017-05-16,22.5,97.5,22.62
2017-05-16,22.5,102.5,23.404543
2017-05-16,22.5,107.5,25.612858
2017-05-16,22.5,112.5,25.680555
2017-05-16,22.5,117.5,25.082
2017-05-16,22.5,122.5,26.4825
2017-05-16,22.5,127.5,25.325
2017-05-16,22.5,142.5,24.99
2017-05-16,22.5,152.5,26.46
2017-05-16,27.5,-112.5,25.56
2017-05-16,27.5,-107.5,25.512003
2017-05-16,27.5,-102.5,26.09
2017-05-16,27.5,-97.5,25.300953
2017-05-16,27.5,-92.5,23.946001
2017-05-16,27.5,-87.5,24.12
2017-05-16,27.5,-82.5,25.863201
2017-05-16,27.5,-17.5,21.792002
2017-05-16,27.5,-12.5,21.885
2017-05-16,27.5,7.5,31.654999
2017-05-16,27.5,27.5,27.8125
2017-05-16,27.5,32.5,28.762003
2017-05-16,27.5,37.5,28.095
2017-05-16,27.5,42.5,30.059998
2017-05-16,27.5,47.5,34.406666
2017-05-16,27.5,52.5,30.5
2017-05-16,27.5,57.5,30.17625
2017-05-16,27.5,62.5,31.734003
2017-05-16,27.5,67.5,34.405
2017-05-16,27.5,72.5,35.22
2017-05-16,27.5,77.5,34.1125
2017-05-16,27.5,82.5,33.13
2017-05-16,27.5,87.5,3.56
2017-05-16,27.5,92.5,16.0325
2017-05-16,27.5,97.5,14.77
2017-05-16,27.5,102.5,17.619333
2017-05-16,27.5,107.5,21.047695
2017-05-16,27.5,112.5,22.804667
2017-05-16,27.5,117.5,22.927647
2017-05-16,27.5,122.5,22.52
2017-05-16,27.5,127.5,23.394285
2017-05-16,27.5,132.5,23.81
2017-05-16,27.5,142.5,24.31
2017-05-16,32.5,-117.5,18.65647
2017-05-16,32.5,-112.5,25.237143
2017-05-16,32.5,-107.5,21.086668
2017-05-16,32.5,-102.5,21.404167
2017-05-16,32.5,-97.5,22.627144
2017-05-16,32.5,-92.5,21.702143
2017-05-16,32.5,-87.5,22.219696
2017-05-16,32.5,-82.5,22.724573
2017-05-16,32.5,-77.5,22.517502
2017-05-16,32.5,-62.5,22.43
2017-05-16,32.5,-17.5,19.866667
2017-05-16,32.5,-7.5,22.1525
2017-05-16,32.5,-2.5,25.176252
2017-05-16,32.5,2.5,25.912498
2017-05-16,32.5,7.5,27.8575
2017-05-16,32.5,12.5,22.841108
2017-05-16,32.5,17.5,22.63
2017-05-16,32.5,27.5,22.266668
2017-05-16,32.5,32.5,22.936666
2017-05-16,32.5,37.5,22.537777
2017-05-16,32.5,47.5,24.37857
2017-05-16,32.5,52.5,23.316
2017-05-16,32.5,57.5,27.473999
2017-05-16,32.5,62.5,32.61
2017-05-16,32.5,67.5,27.95
2017-05-16,32.5,72.5,30.445
2017-05-16,32.5,77.5,30.185
2017-05-16,32.5,82.5,6.18
2017-05-16,32.5,87.5,4.35
2017-05-16,32.5,92.5,4.17
2017-05-16,32.5,97.5,8.130001
