date,lat,lon,rh_anoms
2017-05-16,32.5,67.5,0.75545454
2017-05-16,32.5,72.5,-1.3404336
2017-05-16,32.5,77.5,2.1970716
2017-05-16,32.5,82.5,14.401334
2017-05-16,32.5,87.5,7.3083334
2017-05-16,32.5,92.5,1.0696667
2017-05-16,32.5,97.5,-2.5962846
2017-05-16,32.5,102.5,-1.0645279
2017-05-16,32.5,107.5,-2.0734334
2017-05-16,32.5,112.5,-4.850792
2017-05-16,32.5,117.5,-3.0222123
2017-05-16,32.5,122.5,-2.8726957
2017-05-16,32.5,127.5,-3.040972
2017-05-16,32.5,132.5,-1.3159544
2017-05-16,32.5,137.5,-1.1836207
2017-05-16,37.5,-122.5,-0.56237906
2017-05-16,37.5,-117.5,-0.44444814
2017-05-16,37.5,-112.5,1.6540011
2017-05-16,37.5,-107.5,3.1996095
2017-05-16,37.5,-102.5,4.2653227
2017-05-16,37.5,-97.5,-2.042899
2017-05-16,37.5,-92.5,-1.8058071
2017-05-16,37.5,-87.5,-0.22550562
2017-05-16,37.5,-82.5,0.20742688
2017-05-16,37.5,-77.5,1.9133825
2017-05-16,37.5,-72.5,-0.06806549
2017-05-16,37.5,-32.5,-0.702
2017-05-16,37.5,-27.5,2.406819
2017-05-16,37.5,-7.5,-1.2517983
2017-05-16,37.5,-2.5,-3.186237
2017-05-16,37.5,2.5,-6.403178
2017-05-16,37.5,7.5,-6.3438487
2017-05-16,37.5,12.5,-2.553957
2017-05-16,37.5,17.5,-3.4040227
2017-05-16,37.5,22.5,-2.0727243
2017-05-16,37.5,27.5,0.3841719
2017-05-16,37.5,32.5,1.8329926
2017-05-16,37.5,37.5,0.68683684
2017-05-16,37.5,42.5,-0.5620034
2017-05-16,37.5,47.5,-5.9600806
2017-05-16,37.5,52.5,-1.3743155
2017-05-16,37.5,57.5,-5.2923784
2017-05-16,37.5,62.5,-1.9426273
2017-05-16,37.5,67.5,-4.0685945
2017-05-16,37.5,72.5,-4.8229165
2017-05-16,37.5,77.5,-9.160733
2017-05-16,37.5,87.5,-1.0703334
2017-05-16,37.5,92.5,-4.972833
2017-05-16,37.5,97.5,-6.2510004
2017-05-16,37.5,102.5,-1.5882221
2017-05-16,37.5,107.5,-5.9212117
2017-05-16,37.5,112.5,-7.71748
2017-05-16,37.5,117.5,-5.672665
2017-05-16,37.5,122.5,-4.333131
2017-05-16,37.5,127.5,-6.0760436
2017-05-16,37.5,132.5,-3.9835155
2017-05-16,37.5,137.5,-0.7059278
2017-05-16,37.5,142.5,0.18133067
2017-05-16,42.5,-122.5,-1.9690441
2017-05-16,42.5,-117.5,-0.28471166
2017-05-16,42.5,-112.5,1.091316
2017-05-16,42.5,-107.5,1.2761027
2017-05-16,42.5,-102.5,-0.16581771
2017-05-16,42.5,-97.5,-2.8310964
2017-05-16,42.5,-92.5,-0.34923184
2017-05-16,42.5,-87.5,0.52516794
2017-05-16,42.5,-82.5,-0.15139778
2017-05-16,42.5,-77.5,3.3684778
2017-05-16,42.5,-72.5,3.3856835
2017-05-16,42.5,-67.5,3.2868357
2017-05-16,42.5,-62.5,3.5337377
2017-05-16,42.5,-7.5,0.75972974
2017-05-16,42.5,-2.5,-4.014833
2017-05-16,42.5,2.5,-1.6301619
2017-05-16,42.5,7.5,-3.2928731
2017-05-16,42.5,12.5,-3.799384
2017-05-16,42.5,17.5,-1.4727454
2017-05-16,42.5,22.5,2.8762536
2017-05-16,42.5,27.5,0.24211645
2017-05-16,42.5,32.5,0.28564104
2017-05-16,42.5,37.5,0.5763897
2017-05-16,42.5,42.5,3.6890442
2017-05-16,42.5,47.5,0.60301137
2017-05-16,42.5,52.5,-0.77060044
2017-05-16,42.5,57.5,-1.7981895
2017-05-16,42.5,62.5,-2.0695
2017-05-16,42.5,67.5,-3.2393782
2017-05-16,42.5,72.5,-1.7914394
2017-05-16,42.5,77.5,-3.3222392
2017-05-16,42.5,82.5,-1.3666668
2017-05-16,42.5,87.5,-2.4470477
2017-05-16,42.5,92.5,-1.7602221
2017-05-16,42.5,97.5,-1.62
2017-05-16,42.5,102.5,-4.041468
2017-05-16,42.5,107.5,-4.8646665
2017-05-16,42.5,112.5,-6.7663865
2017-05-16,42.5,117.5,-6.73117
2017-05-16,42.5,122.5,-2.6862414
2017-05-16,42.5,127.5,-2.1065543
2017-05-16,42.5,132.5,-2.9644742
2017-05-16,42.5,137.5,-0.68198276
2017-05-16,42.5,142.5,-0.20130533
2017-05-16,42.5,147.5,-0.9162069
2017-05-16,47.5,-127.5,2.9702022
2017-05-16,47.5,-122.5,1.6100558
2017-05-16,47.5,-117.5,1.1450334
2017-05-16,47.5,-112.5,-1.6239817
2017-05-16,47.5,-107.5,-5.994142
2017-05-16,47.5,-102.5,-7.3256383
2017-05-16,47.5,-97.5,-3.7667933
2017-05-16,47.5,-92.5,0.5499676
2017-05-16,47.5,-87.5,2.7594092
2017-05-16,47.5,-82.5,3.937283
2017-05-16,47.5,-77.5,10.181805
2017-05-16,47.5,-72.5,7.4614587
2017-05-16,47.5,-67.5,5.208674
2017-05-16,47.5,-62.5,2.4176419
2017-05-16,47.5,-57.5,-0.50751144
2017-05-16,47.5,-52.5,4.4805665
2017-05-16,47.5,-7.5,1.3880403
2017-05-16,47.5,-2.5,-0.06220693
2017-05-16,47.5,2.5,-0.78668064
2017-05-16,47.5,7.5,-1.8336861
2017-05-16,47.5,12.5,-2.9092662
2017-05-16,47.5,17.5,-1.4496757
2017-05-16,47.5,22.5,2.0197291
2017-05-16,47.5,27.5,0.14069317
2017-05-16,47.5,32.5,-3.334359
2017-05-16,47.5,37.5,-0.882568
2017-05-16,47.5,42.5,5.8284793
2017-05-16,47.5,47.5,-1.6250778
2017-05-16,47.5,52.5,0.2993087
2017-05-16,47.5,57.5,1.1786934
2017-05-16,47.5,62.5,-0.5639324
2017-05-16,47.5,67.5,-4.610879
2017-05-16,47.5,72.5,-4.839372
2017-05-16,47.5,77.5,-2.1203334
2017-05-16,47.5,82.5,-1.2710707
2017-05-16,47.5,87.5,-2.8198667
2017-05-16,47.5,92.5,-4.70859
2017-05-16,47.5,97.5,-6.787213
2017-05-16,47.5,102.5,-8.082969
2017-05-16,47.5,107.5,-10.245338
2017-05-16,47.5,112.5,-8.056032
2017-05-16,47.5,117.5,-7.5531425
2017-05-16,47.5,122.5,-7.0805044
2017-05-16,47.5,127.5,-6.7792
2017-05-16,47.5,132.5,-4.758869
2017-05-16,47.5,137.5,-4.1589713
2017-05-16,47.5,142.5,-3.300247
2017-05-16,52.5,-177.5,-11.388
2017-05-16,52.5,-167.5,1.0781481
2017-05-16,52.5,-132.5,1.5822263
2017-05-16,52.5,-127.5,4.543372
2017-05-16,52.5,-122.5,1.1567271
2017-05-16,52.5,-117.5,-2.034577
2017-05-16,52.5,-112.5,-1.669647
2017-05-16,52.5,-107.5,0.34138387
2017-05-16,52.5,-102.5,-0.7058623
2017-05-16,52.5,-97.5,-3.0409627
2017-05-16,52.5,-92.5,-2.391839
2017-05-16,52.5,-87.5,-1.7473077
2017-05-16,52.5,-77.5,-4.8948274
2017-05-16,52.5,-72.5,1.8366834
2017-05-16,52.5,-67.5,1.5847698
2017-05-16,52.5,-62.5,0.93671054
2017-05-16,52.5,-57.5,3.0077667
2017-05-16,52.5,-12.5,-0.451
2017-05-16,52.5,-7.5,-0.7389816
2017-05-16,52.5,-2.5,1.3705965
2017-05-16,52.5,2.5,0.24418926
2017-05-16,52.5,7.5,-0.45993185
2017-05-16,52.5,12.5,0.35659352
2017-05-16,52.5,17.5,-0.28788465
2017-05-16,52.5,22.5,-2.025726
2017-05-16,52.5,27.5,-5.6974263
2017-05-16,52.5,32.5,-6.0466723
2017-05-16,52.5,37.5,-3.6058648
2017-05-16,52.5,42.5,0.83306354
2017-05-16,52.5,47.5,-0.5835821
